pm_id,issn,essn,last_author,pmc_id,title,source,impact_factor
446897,0012-1606,,Hirsh D,,Further characterization of a temperature-sensitive transformation mutant in Caenorhabditis elegans.,Dev Biol,3.148
838889,0021-9967,,Hodgkin JA,,Specific neuroanatomical changes in chemosensory mutants of the nematode Caenorhabditis elegans.,J Comp Neurol,3.028
728988,0092-8674,,Epstein HF,,Muscle development in Caenorhabditis elegans: mutants exhibiting retarded sarcomere construction.,Cell,66.85
363276,0092-8674,,Epstein HF,,Immunocytochemical localization of two myosins within the same muslce cells in Caenorhabditis elegans.,Cell,66.85
271956,0027-8424,1091-6490,Brenner S,PMC431709,An internal deletion mutant of a myosin heavy chain in Caenorhabditis elegans.,Proc Natl Acad Sci U S A,12.779
909083,0022-2836,,Brenner S,,Identification of the structural gene for a myosin heavy-chain in Caenorhabditis elegans.,J Mol Biol,6.151
574105,0016-6731,,Herman RK,PMC1213963,"Lethals, steriles and deficiencies in a region of the X chromosome of Caenorhabditis elegans.",Genetics,4.402
17248882,0016-6731,,Baillie DL,PMC1213933,Genetic Organization in CAENORHABDITIS ELEGANS: Fine-Structure Analysis of the unc-22 Gene.,Genetics,4.402
700253,0012-1606,,Ward S,,"Intersex, a temperature-sensitive mutant of the nematode Caenorhabditis elegans.",Dev Biol,3.148
627278,0014-4894,,McFadden BA,,Caenorhabditis elegans and Ascaris suum: fragmentation of isocitrate lyase in crude extracts.,Exp Parasitol,2.132
19305805,0022-300X,,Riddle DL,PMC2617852,The genetics of development and behavior in Caenorhabditis elegans.,J Nematol,1.481
669254,0016-6731,,Brenner S,PMC1213839,Indirect suppression in Caenorhabditis elegans.,Genetics,4.402
17248928,0016-6731,,Baillie DL,PMC1213967,The Effect of Temperature and Parental Age on Recombination and Nondisjunction in CAENORHABDITIS ELEGANS.,Genetics,4.402
492325,0028-0836,,Baillie DL,,A mutation in Caenorhabditis elegans that increases recombination frequency more than threefold.,Nature,69.504
82486,0092-8674,,Epstein HF,,Myosins exist as homodimers of heavy chains: demonstration with specific antibody purified by nematode mutant myosin affinity chromatography.,Cell,66.85
862026,0092-8674,,Epstein HF,,Two homogeneous myosins in body-wall muscle of Caenorhabditis elegans.,Cell,66.85
8804,0962-8436,,Sulston JE,,Post-embryonic development in the ventral cord of Caenorhabditis elegans.,Philos Trans R Soc Lond B Biol Sci,6.671
240872,0021-9967,,Brenner S,,Dopaminergic neurons in the nematode Caenorhabditis elegans.,J Comp Neurol,3.028
943346,0012-1606,,Hirsh D,,Temperature-sensitive zygote defective mutants of Caenorhabditis elegans.,Dev Biol,3.148
4351805,0027-8424,1091-6490,Ward S,PMC433366,Chemotaxis by the nematode Caenorhabditis elegans: identification of attractants and analysis of the response by use of mutants.,Proc Natl Acad Sci U S A,12.779
499670,0012-1606,,Carrel JS,,Fertilization and sperm competition in the nematode Caenorhabditis elegans.,Dev Biol,3.148
580424,0016-6731,,Miwa J,PMC1213801,"Characterization of temperature-sensitive, fertilization-defective mutants of the nematode caenorhabditis elegans.",Genetics,4.402
703836,0028-0836,,Brenner S,,A suppressor mutation in the nematode acting on specific alleles of many genes.,Nature,69.504
564970,0022-2836,,Brenner S,,Mutants affecting paramyosin in Caenorhabditis elegans.,J Mol Biol,6.151
625347,0028-0836,,Anness MA,,Connectivity changes in a class of motoneurone during the development of a nematode.,Nature,69.504
7371984,0012-1606,,Hirsh D,,Parental effects and phenotypic characterization of mutations that affect early development in Caenorhabditis elegans.,Dev Biol,3.148
7262541,0016-6731,,Baillie DL,PMC1214366,"Genetic organization of the region around UNC-15 (I), a gene affecting paramyosin in Caenorhabditis elegans.",Genetics,4.402
692653,0028-0836,,Smith SJ,,The structural gene for myosin: a close look.,Nature,69.504
6928685,0027-8424,1091-6490,Epstein HF,PMC348379,Mutants altering coordinate synthesis of specific myosins during nematode muscle development.,Proc Natl Acad Sci U S A,12.779
7357613,0092-8674,,Ward S,,"Vesicle fusion, pseudopod extension and amoeboid motility are induced in nematode spermatids by the ionophore monensin.",Cell,66.85
7380087,0012-1606,,von Ehrenstein G,,Cell lineages and developmental defects of temperature-sensitive embryonic arrest mutants in Caenorhabditis elegans.,Dev Biol,3.148
7380089,0012-1606,,von Ehrenstein G,,Genetics and mode of expression of temperature-sensitive mutations arresting embryonic development in Caenorhabditis elegans.,Dev Biol,3.148
7190524,0012-1606,,Brenner S,,Mutants with altered muscle structure of Caenorhabditis elegans.,Dev Biol,3.148
7402460,0306-4522,,Berg H,,Levamisole-resistant mutants of the nematode Caenorhabditis elegans appear to lack pharmacological acetylcholine receptors.,Neuroscience,3.708
17249038,0016-6731,,Edgar RS,PMC1214229,Genetic and Phenotypic Characterization of Roller Mutants of CAENORHABDITIS ELEGANS.,Genetics,4.402
7423194,0036-8075,,Babu P,,Genetic mosaics of Caenorhabditis elegans: a tissue-specific fluorescent mutant.,Science,63.714
6254062,0027-8424,1091-6490,Cesareni G,PMC350019,Novel bacteriophage lambda cloning vector.,Proc Natl Acad Sci U S A,12.779
6255481,0027-8424,1091-6490,Stretton AO,PMC350245,"Avermectin B1a, a paralyzing anthelmintic that affects interneurons and inhibitory motoneurons in Ascaris.",Proc Natl Acad Sci U S A,12.779
7203008,0016-6731,,Levine JH,PMC1214276,The genetics of levamisole resistance in the nematode Caenorhabditis elegans.,Genetics,4.402
7193096,0092-8674,,Epstein HF,,Paramyosin is necessary for determination of nematode thick filament length in vivo.,Cell,66.85
6894129,0016-6731,,Horvitz HR,PMC1214286,unc-93(e1500): A behavioral mutant of Caenorhabditis elegans that defines a gene with a wild-type null phenotype.,Genetics,4.402
7348600,0271-6585,,Epstein HF,,Identification of genetic elements associated with muscle structure in the nematode Caenorhabditis elegans.,Cell Motil,
6936603,0026-8925,,Babu P,,Mutagen sensitivity of kynureninase mutants of the nematode Caenorhabditis elegans.,Mol Gen Genet,
7196361,0016-6731,,Ward S,PMC1214308,Caenorhabditis elegans fertilization-defective mutants with abnormal sperm.,Genetics,4.402
7262539,0016-6731,,Sulston JE,PMC1214309,Isolation and genetic characterization of cell-lineage mutants of the nematode Caenorhabditis elegans.,Genetics,4.402
7196363,0016-6731,,Herman RK,PMC1214388,Suppression and function of X-linked lethal and sterile mutations in Caenorhabditis elegans.,Genetics,4.402
7262542,0016-6731,,Hodgkin J,PMC1214367,More sex-determination mutants of Caenorhabditis elegans.,Genetics,4.402
7207485,0027-5107,,Baillie DL,,Formaldehyde mutagenesis in the nematode Caenorhabditis elegans.,Mutat Res,3.151
7014288,0012-1606,,Horvitz HR,,Abnormal cell lineages in mutants of the nematode Caenorhabditis elegans.,Dev Biol,3.148
7250492,0012-1606,,von Ehrenstein G,,Genetic analysis of temperature-sensitive embryogenesis mutants in Caenorhabditis elegans.,Dev Biol,3.148
7227647,0012-1606,,Sulston J,,Developmental genetics of the mechanosensory neurons of Caenorhabditis elegans.,Dev Biol,3.148
7240452,0021-9967,,Riddle DL,,Sensory control of dauer larva formation in Caenorhabditis elegans.,J Comp Neurol,3.028
7219552,0028-0836,,Albert PS,,Interacting genes in nematode dauer larva formation.,Nature,69.504
7250500,0012-1606,,Riddle DL,,Critical periods in the development of the Caenorhabditis elegans dauer larva.,Dev Biol,3.148
7237544,0092-8674,,Sulston JE,,Mutations that lead to reiterations in the cell lineages of C. elegans.,Cell,66.85
6264304,0028-0836,,Brenner S,,Molecular analysis of the unc-54 myosin heavy-chain gene of Caenorhabditis elegans.,Nature,69.504
20737868,0012-1606,,Hirsh D,,Sperm isolation and biochemical analysis of the major sperm protein from Caenorhabditis elegans.,Dev Biol,3.148
7274654,0016-6731,,Russell RL,PMC1214393,An acetylcholinesterase-deficient mutant of the nematode Caenorhabditis elegans.,Genetics,4.402
7274655,0016-6731,,Russell RL,PMC1214394,A second class of acetylcholinesterase-deficient mutants of the nematode Caenorhabditis elegans.,Genetics,4.402
7274656,0016-6731,,Waterston RH,PMC1214395,"A second informational suppressor, SUP-7 X, in Caenorhabditis elegans.",Genetics,4.402
7251677,0021-9525,1540-8140,Edgar RS,PMC2111847,Cuticle of Caenorhabditis elegans: its isolation and partial characterization.,J Cell Biol,8.077
7266559,0027-5107,,Brenner S,,Spectrum of 32P-induced mutants of Caenorhabditis elegans.,Mutat Res,3.151
6269931,0012-1606,,Edgar RS,,The cuticle of Caenorhabditis elegans. II. Stage-specific changes in ultrastructure and protein composition during postembryonic development.,Dev Biol,3.148
7298721,0021-9525,1540-8140,Nelson GA,PMC2111930,Sperm morphogenesis in wild-type and fertilization-defective mutants of Caenorhabditis elegans.,J Cell Biol,8.077
6935493,0026-8925,,Babu P,,Kynurenine hydroxylase mutants of the nematode Caenorhabditis elegans.,Mol Gen Genet,
7075356,0009-5915,,Slaton DE,,The synaptonemal complexes of caenorhabditis elegans: comparison of wild-type and mutant strains and pachytene karyotype analysis of wild-type.,Chromosoma,2.919
7199049,0021-9525,1540-8140,Ward S,PMC2111997,Caenorhabditis elegans spermatozoan locomotion: amoeboid movement with almost no actin.,J Cell Biol,8.077
7056796,0021-9525,1540-8140,Ward S,PMC2112009,Centripetal flow of pseudopodial surface components could propel the amoeboid movement of Caenorhabditis elegans spermatozoa.,J Cell Biol,8.077
7060941,0016-6480,,Kiss I,,Competition between juvenile hormone antagonist precocene II and juvenile hormone analog: methoprene in the nematode Caenorhabditis elegans.,Gen Comp Endocrinol,3.255
19295706,0022-300X,,Politz JC,PMC2618170,The Cuticle of Caenorhabditis elegans.,J Nematol,1.481
19295707,0022-300X,,Argon Y,PMC2618167,The Development and Motility of Caenorhabditis elegans Spermatozoa.,J Nematol,1.481
7068753,0021-9525,1540-8140,Thomson JN,PMC2112106,Structural and functional diversity in the neuronal microtubules of Caenorhabditis elegans.,J Cell Biol,8.077
6805073,0036-8075,,Evans PD,,Serotonin and octopamine in the nematode Caenorhabditis elegans.,Science,63.714
6953041,0016-6731,,Baillie DL,PMC1214511,"The genetic analysis of a reciprocal translocation, eT1(III; V), in Caenorhabditis elegans.",Genetics,4.402
7056795,0021-9525,1540-8140,Ward S,PMC2112007,Membrane flow during nematode spermiogenesis.,J Cell Biol,8.077
7049792,0012-1606,,Klass M,,The location of the major protein in Caenorhabditis elegans sperm and spermatocytes.,Dev Biol,3.148
6955083,0091-7451,,Chalfie M,,Microtubule structure in Caenorhabditis elegans neurons.,Cold Spring Harb Symp Quant Biol,
7127470,0092-8674,,Epstein HF,,Muscle differentiation in normal and cleavage-arrested mutant embryos of Caenorhabditis elegans.,Cell,66.85
6889924,0092-8674,,Thomson JN,,A gene required for nuclear and mitochondrial attachment in the nematode Caenorhabditis elegans.,Cell,66.85
7121584,0028-0836,,Smith J,,Suppression of an amber mutation by microinjection of suppressor tRNA in C. elegans.,Nature,69.504
7173602,0016-6731,,Horvitz HR,PMC1201857,Dominant suppressors of a muscle mutant define an essential gene of Caenorhabditis elegans.,Genetics,4.402
7152245,0016-6731,,Herman RK,PMC1201931,Radiation-sensitive mutants of Caenorhabditis elegans.,Genetics,4.402
7128929,0012-1606,,Herndon M,,Cell-specific transcriptional regulation of the major sperm protein in Caenorhabditis elegans.,Dev Biol,3.148
7139711,0092-8674,,Hirsh D,,Comparisons of the complete sequences of two collagen genes from Caenorhabditis elegans.,Cell,66.85
7202124,0028-0836,,Karn J,,Periodic charge distributions in the myosin rod amino acid sequence match cross-bridge spacings in muscle.,Nature,69.504
7151169,0092-8674,,Baillie DL,,Mutations in the unc-54 myosin heavy chain gene of Caenorhabditis elegans that alter contractility but not muscle structure.,Cell,66.85
7152102,0012-1606,,Bartel AH,,DNA replication may be uncoupled from nuclear and cellular division in temperature-sensitive embryonic lethal mutants of Caenorhabditis elegans.,Dev Biol,3.148
7088142,0028-0836,,Sulston JE,,Neurone differentiation in cell lineage mutants of Caenorhabditis elegans.,Nature,69.504
7120406,0022-2836,,Moerman DG,,Genetic fine structure analysis of the myosin heavy chain gene unc-54 of Caenorhabditis elegans.,J Mol Biol,6.151
6213421,0531-5565,,Miwa J,,"Life span of the wild and mutant nematode Caenorhabditis elegans. Effects of sex, sterilization, and temperature.",Exp Gerontol,4.253
7187364,0016-6731,,Baillie DL,PMC1201969,Essential genes and deficiencies in the unc-22 IV region of Caenorhabditis elegans.,Genetics,4.402
6827646,0022-5320,,Riddle DL,,Fine structure of the Caenorhabditis elegans secretory-excretory system.,J Ultrastruct Res,
6962311,0026-8925,,Herman RK,,Somatic damage to the X chromosome of the nematode Caenorhabditis elegans induced by gamma radiation.,Mol Gen Genet,
7172867,0009-5915,,Goldstein P,,The synaptonemal complexes of Caenorhabditis elegans: pachytene karyotype analysis of male and hermaphrodite wild-type and him mutants.,Chromosoma,2.919
6296631,0026-8925,,Nelson D,,The linkage mapping of cloned restriction fragment length differences in Caenorabditis elegans.,Mol Gen Genet,
17246100,0016-6731,,Hodgkin J,PMC1202023,Male Phenotypes and Mating Efficiency in CAENORHABDITIS ELEGANS.,Genetics,4.402
6302275,0022-2836,,Hirsh D,,Actin gene family of Caenorhabditis elegans.,J Mol Biol,6.151
6341606,0022-2836,,Karn J,,Periodic features in the amino acid sequence of nematode myosin rod.,J Mol Biol,6.151
6825952,0012-1606,,Sharrock WJ,,Tissue-specific synthesis of yolk proteins in Caenorhabditis elegans.,Dev Biol,3.148
6494891,0036-8075,,Horvitz HR,,Heterochronic mutants of the nematode Caenorhabditis elegans.,Science,63.714
6822867,0270-6474,1529-2401,Klein WL,PMC6564492,Occurrence of muscarinic acetylcholine receptors in wild type and cholinergic mutants of Caenorhabditis elegans.,J Neurosci,6.709
6857247,0036-8075,,Thomson JN,,Mutations affecting programmed cell deaths in the nematode Caenorhabditis elegans.,Science,63.714
6857263,0036-8075,,Sulston JE,,Induction of neuronal branching in Caenorhabditis elegans.,Science,63.714
6866126,0028-0836,,Hodgkin J,,Two types of sex determination in a nematode.,Nature,69.504
6861282,0143-3334,,Miwa J,,A gene involved in action of tumor promoters is identified and mapped in Caenorhabditis elegans.,Carcinogenesis,4.741
6345236,0012-1606,,Nelson GA,,The initiation of spermiogenesis in the nematode Caenorhabditis elegans.,Dev Biol,3.148
11813735,0016-6731,,Horvitz HR,PMC1202130,Egg-laying defective mutants of the nematode Caenorhabditis elegans.,Genetics,4.402
6576334,0027-8424,1091-6490,Barnett L,PMC384015,Protein structural domains in the Caenorhabditis elegans unc-54 myosin heavy chain gene are not separated by introns.,Proc Natl Acad Sci U S A,12.779
6883176,0714-7511,,Baillie DL,,Alterations in the pattern of gene expression following heat shock in the nematode Caenorhabditis elegans.,Can J Biochem Cell Biol,
6864228,0022-3042,,Russell RL,,Multiple molecular forms of acetylcholinesterase in the nematode Caenorhabditis elegans.,J Neurochem,5.546
6616618,0092-8674,,Horvitz HR,,The lin-12 locus specifies cell fates in Caenorhabditis elegans.,Cell,66.85
6352051,0092-8674,,Epstein HF,,Differential localization of two myosins within nematode thick filaments.,Cell,66.85
6684994,0092-8674,,Wood WB,,Generation of asymmetry and segregation of germ-line granules in early C. elegans embryos.,Cell,66.85
6620380,0022-2836,,McLachlan AD,,Analysis of gene duplication repeats in the myosin rod.,J Mol Biol,6.151
6630208,0021-9258,,Riddle DL,,RNA polymerase II from wild type and alpha-amanitin-resistant strains of Caenorhabditis elegans.,J Biol Chem,
6315956,0022-2836,,Ward S,,Identification of a large multigene family encoding the major sperm protein of Caenorhabditis elegans.,J Mol Biol,6.151
6355679,0047-6374,,Dechavigny A,,Age-correlated changes in the DNA template in the nematode Caenorhabditis elegans.,Mech Ageing Dev,5.498
6632998,0047-6374,,Klass MR,,A method for the isolation of longevity mutants in the nematode Caenorhabditis elegans and initial results.,Mech Ageing Dev,5.498
6683689,0012-1606,,von Ehrenstein G,,Maternal effects and temperature-sensitive period of mutations affecting embryogenesis in Caenorhabditis elegans.,Dev Biol,3.148
6412000,0047-6374,,Russell RL,,Quantitative measures of aging in the nematode Caenorhabditis elegans: II. Lysosomal hydrolases as markers of senescence.,Mech Ageing Dev,5.498
6709723,0031-8655,,Hartman PS,,"UV irradiation of wild type and radiation-sensitive mutants of the nematode Caenorhabditis elegans: fertilities, survival, and parental effects.",Photochem Photobiol,3.521
6537930,0016-6731,,Wood WB,PMC1202245,An autosomal gene that affects X chromosome expression and sex determination in Caenorhabditis elegans.,Genetics,4.402
6692980,0012-1606,,Albertson DG,,Formation of the first cleavage spindle in nematode embryos.,Dev Biol,3.148
6586366,0091-7451,,Sulston JE,,Neuronal cell lineages in the nematode Caenorhabditis elegans.,Cold Spring Harb Symp Quant Biol,
6586368,0091-7451,,Ellis HM,,Mutations that affect neural cell lineages and cell fates during the development of the nematode Caenorhabditis elegans.,Cold Spring Harb Symp Quant Biol,
6698395,0016-6731,,Russell RL,PMC1202253,Choline acetyltransferase-deficient mutants of the nematode Caenorhabditis elegans.,Genetics,4.402
6583682,0027-8424,1091-6490,Riddle DL,PMC344929,A pheromone-induced developmental switch in Caenorhabditis elegans: Temperature-sensitive mutants reveal a wild-type temperature-dependent process.,Proc Natl Acad Sci U S A,12.779
6706004,0012-1606,,Riddle DL,,"The Caenorhabditis elegans dauer larva: developmental effects of pheromone, food, and temperature.",Dev Biol,3.148
28305458,0340-0794,,Cassada R,,Cell-lineage and developmental defects of temperature-sensitive embryonic arrest mutants of the nematodeCaenorhabditis elegans.,Wilehm Roux Arch Dev Biol,
6378619,0261-4189,1460-2075,Albertson DG,PMC557503,Localization of the ribosomal genes in Caenorhabditis elegans chromosomes by in situ hybridization using biotin-labeled probes.,EMBO J,14.012
6593563,0026-8925,,Curran J,,Meiotic pairing behavior of two free duplications of linkage group I in Caenorhabditis elegans.,Mol Gen Genet,
6470649,0022-104X,,Riddle DL,,Functional study of the Caenorhabditis elegans secretory-excretory system using laser microsurgery.,J Exp Zool,
6589606,0027-8424,1091-6490,Brenner S,PMC345612,A selection for myosin heavy chain mutants in the nematode Caenorhabditis elegans.,Proc Natl Acad Sci U S A,12.779
6434374,0016-6731,,Herman RK,PMC1202392,Analysis of genetic mosaics of the nematode Caneorhabditis elegans.,Genetics,4.402
6468762,0012-1606,,Hirsh D,,Specification of male development in Caenorhabditis elegans: the fem genes.,Dev Biol,3.148
6500256,0016-6731,,Herman RK,PMC1202409,Caenorhabditis elegans deficiency mapping.,Genetics,4.402
6513921,0270-7306,1098-5549,Hirsh D,PMC369069,Number and organization of collagen genes in Caenorhabditis elegans.,Mol Cell Biol,5.069
6541600,0012-1606,,Hodgkin J,,"A sex-determining gene, fem-1, required for both male and hermaphrodite development in Caenorhabditis elegans.",Dev Biol,3.148
6493262,0027-5107,,Hartman PS,,Effects of age and liquid holding on the UV-radiation sensitivities of wild-type and mutant Caenorhabditis elegans dauer larvae.,Mutat Res,3.151
6096205,0016-6731,,Waterston RH,PMC1224270,Spontaneous unstable unc-22 IV mutations in C. elegans var. Bergerac.,Genetics,4.402
6500000,0014-4894,,Zuckerman BM,,Caenorhabditis elegans and Panagrellus redivivus: enzyme-mediated modification of chemotaxis.,Exp Parasitol,2.132
6093119,0027-8424,1091-6490,Waterston RH,PMC392016,The sup-7(st5) X gene of Caenorhabditis elegans encodes a tRNATrpUAG amber suppressor.,Proc Natl Acad Sci U S A,12.779
6389551,0021-9258,,Hecht RM,,"Two isoenzymes of glyceraldehyde-3-phosphate dehydrogenase in Caenorhabditis elegans. Isolation, properties, and immunochemical characterization.",J Biol Chem,
2981757,0016-6731,,Anderson P,PMC1202484,The gene structures of spontaneous mutations affecting a Caenorhabditis elegans myosin heavy chain gene.,Genetics,4.402
3967818,0016-6731,,Hartman PS,PMC1202485,Epistatic interactions of radiation-sensitive (rad) mutants of Caenorhabditis elegans.,Genetics,4.402
3964827,0022-3042,,Russell RL,,Properties and partial purification of choline acetyltransferase from the nematode Caenorhabditis elegans.,J Neurochem,5.546
3982411,0270-7306,1098-5549,Anderson P,PMC366670,Novel insertion mutation in Caenorhabditis elegans.,Mol Cell Biol,5.069
6513961,0027-5107,,Goldstein P,,The synaptonemal complexes of Caenorhabditis elegans: pachytene karyotype analysis of the rad-4 radiation-sensitive mutant.,Mutat Res,3.151
2578115,0012-1606,,White JG,,Polyploid tissues in the nematode Caenorhabditis elegans.,Dev Biol,3.148
6527380,0022-2836,,Lane TR,,Dominant mutations affecting muscle structure in Caenorhabditis elegans that map near the actin gene cluster.,J Mol Biol,6.151
6098683,0022-2836,,Hirsh D,,DNA rearrangements of the actin gene cluster in Caenorhabditis elegans accompany reversion of three muscle mutants.,J Mol Biol,6.151
2981212,0021-9258,,Nadal-Ginard B,,Intron positions are conserved in the 5' end region of myosin heavy-chain genes.,J Biol Chem,
2578467,0021-9258,,Hirsh D,,Expression of the Caenorhabditis elegans collagen genes col-1 and col-2 is developmentally regulated.,J Biol Chem,
3919386,0027-8424,1091-6490,Chandra HS,PMC397215,Sex determination: a hypothesis based on noncoding DNA.,Proc Natl Acad Sci U S A,12.779
2983191,0270-7306,1098-5549,Hirsh D,PMC366719,Stage-specific patterns of collagen gene expression during development of Caenorhabditis elegans.,Mol Cell Biol,5.069
3979812,0016-6731,,Baillie DL,PMC1216284,Mutagenesis in Caenorhabditis elegans. II. A spectrum of mutational events induced with 1500 r of gamma-radiation.,Genetics,4.402
3979813,0016-6731,,Hirsh D,PMC1216285,Genetic mapping of Caenorhabditis elegans collagen genes using DNA polymorphisms as phenotypic markers.,Genetics,4.402
3967728,0014-4894,,Zuckerman BM,,Caenorhabditis elegans: lectin-mediated modification of chemotaxis.,Exp Parasitol,2.132
2984668,0027-8424,1091-6490,Anderson P,PMC397351,Transposition of Tc1 in the nematode Caenorhabditis elegans.,Proc Natl Acad Sci U S A,12.779
3882896,0270-6474,1529-2401,Thomson JN,PMC6565019,Monoclonal antibodies which distinguish certain classes of neuronal and supporting cells in the nervous tissue of the nematode Caenorhabditis elegans.,J Neurosci,6.709
3971421,0092-8674,,Kari CK,,Muscle-specific expression of a gene affecting acetylcholinesterase in the nematode caenorhabditis elegans.,Cell,66.85
3996896,0016-6731,,Horvitz HR,PMC1202554,Identification and characterization of 22 genes that affect the vulval cell lineages of the nematode Caenorhabditis elegans.,Genetics,4.402
3859733,0026-8925,,Riddle DL,,A gene affecting production of the Caenorhabditis elegans dauer-inducing pheromone.,Mol Gen Genet,
6571695,0092-8674,,Waterston RH,,The genes sup-7 X and sup-5 III of C. elegans suppress amber nonsense mutations via altered transfer RNA.,Cell,66.85
4018568,0016-6731,,Riddle DL,PMC1202572,Gene interactions affecting muscle organization in Caenorhabditis elegans.,Genetics,4.402
4033652,0270-7306,1098-5549,Candido EP,PMC366854,Locus encoding a family of small heat shock genes in Caenorhabditis elegans: two genes duplicated to form a 3.8-kilobase inverted repeat.,Mol Cell Biol,5.069
4020869,0022-2836,,Waterston RH,,"Sequence analysis of mutations that affect the synthesis, assembly and enzymatic activity of the unc-54 myosin heavy chain of Caenorhabditis elegans.",J Mol Biol,6.151
3891751,0021-9258,,Golomb M,,Purification and immunological analysis of RNA polymerase II from Caenorhabditis elegans.,J Biol Chem,
4021560,0047-6374,,McCaffrey G,,Programmed aging or error catastrophe? An examination by two-dimensional polyacrylamide gel electrophoresis.,Mech Ageing Dev,5.498
4022780,0305-1048,1362-4962,Blumenthal T,PMC321865,The C. elegans vitellogenin genes: short sequence repeats in the promoter regions and homology to the vertebrate genes.,Nucleic Acids Res,19.16
3161604,0008-4093,,Rose AM,,Cloning within the unc-43 to unc-31 interval (linkage group IV) of the Caenorhabditis elegans genome using Tc1 linkage selection.,Can J Genet Cytol,
4056699,0022-104X,,Midsukami M,,Temperature-sensitive mutations causing reversible paralysis in Caenorhabditis elegans.,J Exp Zool,
4034879,0048-5764,,Russell RL,,Molecular basis of drug-resistance mutations in C. elegans.,Psychopharmacol Bull,
4029504,0012-1606,,Hirsh D,,Use of a psoralen-induced phenocopy to study genes controlling spermatogenesis in Caenorhabditis elegans.,Dev Biol,3.148
3928418,0012-1606,,Perkins LA,,Axonal guidance mutants of Caenorhabditis elegans identified by filling sensory neurons with fluorescein dyes.,Dev Biol,3.148
4020534,0167-7063,,Russell RL,,New acetylcholinesterase-deficient mutants of the nematode Caenorhabditis elegans.,J Neurogenet,1.696
4020535,0167-7063,,Russell RL,,"A novel class of acetylcholinesterase, revealed by mutations, in the nematode Caenorhabditis elegans.",J Neurogenet,1.696
17246299,0016-6731,,Hodgkin J,PMC1202644,Novel nematode amber suppressors.,Genetics,4.402
4054096,0261-4189,1460-2075,Albertson DG,PMC554534,Mapping muscle protein genes by in situ hybridization using biotin-labeled probes.,EMBO J,14.012
3855245,0305-1048,1362-4962,Blumenthal T,PMC322028,The nucleotide sequence of a nematode vitellogenin gene.,Nucleic Acids Res,19.16
2935526,0021-924X,,Inoue A,,ATPase characteristics of myosin from nematode Caenorhabditis elegans purified by an improved method. Formation of myosin-phosphate-ADP complex and ATP-induced fluorescence enhancement.,J Biochem,3.241
3837845,0270-7306,1098-5549,Hirsh D,PMC369179,Extrachromosomal DNA transformation of Caenorhabditis elegans.,Mol Cell Biol,5.069
2413045,0021-9525,1540-8140,Waterston RH,PMC2113919,Muscle organization in Caenorhabditis elegans: localization of proteins implicated in thin filament attachment and I-band organization.,J Cell Biol,8.077
3841791,0270-7306,1098-5549,Blumenthal T,PMC366982,The Caenorhabditis elegans vitellogenin gene family includes a gene encoding a distantly related protein.,Mol Cell Biol,5.069
3000611,0092-8674,,Greenwald I,,"lin-12, a nematode homeotic gene, is homologous to a set of mammalian proteins that includes epidermal growth factor.",Cell,66.85
