ID,Name,Evidence
WBPhenotype:0000075,cuticle attachment variant,allele
WBPhenotype:0000076,epithelial attachment variant,rnai
WBPhenotype:0000077,cuticle shedding defect,allele
WBPhenotype:0000078,seam cells stacked,rnai
WBPhenotype:0000079,branched adult alae,rnai
WBPhenotype:0000080,no anterior pharynx,allele
WBPhenotype:0000081,L1 arrest,rnai
WBPhenotype:0000082,L2 arrest,rnai
WBPhenotype:0000083,L3 arrest,allele
WBPhenotype:0000084,L4 arrest,rnai
WBPhenotype:0000085,swollen intestinal lumen,rnai
WBPhenotype:0000087,body wall cell development variant,allele
WBPhenotype:0000088,body muscle displaced,allele
WBPhenotype:0000089,alpha amanitin resistant,allele
WBPhenotype:0000090,epidermis cuticle detached,rnai
WBPhenotype:0000091,epidermis muscle detached,rnai
WBPhenotype:0000092,intestinal cell proliferation variant,allele
WBPhenotype:0000093,lineage variant,allele
WBPhenotype:0000094,anus development variant,allele
WBPhenotype:0000095,M lineage variant,rnai
WBPhenotype:0000097,AB lineage variant,allele
WBPhenotype:0000099,P lineages variant,allele
WBPhenotype:0000100,cell UV response variant,rnai
WBPhenotype:0000101,UV induced apoptosis increased,rnai
WBPhenotype:0000102,presynaptic vesicle cluster variant,allele
WBPhenotype:0000103,gut granule development variant,rnai
WBPhenotype:0000104,cell polarity variant,rnai
WBPhenotype:0000105,oocyte meiotic maturation variant,allele
WBPhenotype:0000106,inhibition of oocyte maturation variant,rnai
WBPhenotype:0000107,inhibition of ovulation variant,rnai
WBPhenotype:0000111,pattern of gene expression variant,allele
WBPhenotype:0000112,protein expression variant,rnai
WBPhenotype:0000113,RNA expression variant,rnai
WBPhenotype:0000114,mRNA expression variant,rnai
WBPhenotype:0000115,anterior pharynx variant,rnai
WBPhenotype:0000116,mid larval lethal,allele
WBPhenotype:0000117,L1 lethal,allele
WBPhenotype:0000118,L2 lethal,allele
WBPhenotype:0000119,protein expression increased,allele
WBPhenotype:0000120,protein expression reduced,rnai
WBPhenotype:0000121,translation variant,allele
WBPhenotype:0000122,post translational processing variant,rnai
WBPhenotype:0000123,enzyme expression level reduced,allele
WBPhenotype:0000124,enzyme activity reduced,allele
WBPhenotype:0000125,enzyme activity increased,rnai
WBPhenotype:0000126,general pace of development defective early emb,rnai
WBPhenotype:0000127,dauer recovery variant,allele
WBPhenotype:0000128,temperature induced dauer formation increased,allele
WBPhenotype:0000129,temperature induced dauer formation defective,rnai
WBPhenotype:0000130,pheromone induced dauer formation enhanced,allele
WBPhenotype:0000131,pheromone induced dauer formation defective,allele
WBPhenotype:0000132,pheromone induced dauer formation variant,allele
WBPhenotype:0000133,expression lipogenic enzyme reduced,rnai
WBPhenotype:0000134,gene expression level reduced,rnai
WBPhenotype:0000135,gene expression level high,rnai
WBPhenotype:0000136,mRNA levels increased,allele
WBPhenotype:0000137,mRNA levels reduced,rnai
WBPhenotype:0000138,lipid composition variant,allele
WBPhenotype:0000139,stress induced lethality variant,rnai
WBPhenotype:0000140,stress induced arrest variant,allele
WBPhenotype:0000141,stress induced lethality increased,rnai
WBPhenotype:0000142,cell stress response variant,rnai
WBPhenotype:0000143,organism UV response variant,rnai
WBPhenotype:0000144,pathogen induced cell death increased,allele
WBPhenotype:0000145,fertility phenotype,rnai
WBPhenotype:0000146,organism temperature response variant,allele
WBPhenotype:0000147,organism starvation response variant,allele
WBPhenotype:0000148,starvation induced dauer formation variant,allele
WBPhenotype:0000150,starvation induced dauer formation defective,allele
WBPhenotype:0000151,anterior pharynx extra cells,allele
WBPhenotype:0000152,no cleavage furrow first division early emb,allele
WBPhenotype:0000153,body wall muscle contraction abnormal,allele
WBPhenotype:0000154,reduced brood size,allele
WBPhenotype:0000155,cell polarity reversed,allele
WBPhenotype:0000157,posterior body wall contraction defecation cycle variant,allele
WBPhenotype:0000161,nuclear rotation variant,rnai
WBPhenotype:0000162,pale larva,allele
WBPhenotype:0000163,clear larva,allele
WBPhenotype:0000164,thin,allele
WBPhenotype:0000165,cell fusion variant,allele
WBPhenotype:0000166,seam cell fusion variant,rnai
WBPhenotype:0000167,precocious seam cell fusion,rnai
WBPhenotype:0000168,alae secretion variant,rnai
WBPhenotype:0000169,early exit cell cycle,rnai
WBPhenotype:0000170,precocious alae,rnai
WBPhenotype:0000171,cell proliferation variant,allele
WBPhenotype:0000172,cell proliferation increased,rnai
WBPhenotype:0000173,cell proliferation reduced,rnai
WBPhenotype:0000174,basal lamina development variant,allele
WBPhenotype:0000175,hypercontracted,allele
WBPhenotype:0000177,acetylcholinesterase reduced,allele
WBPhenotype:0000178,cell degeneration,allele
WBPhenotype:0000179,neuron degeneration,rnai
WBPhenotype:0000180,axon morphology variant,allele
WBPhenotype:0000181,axon trajectory variant,allele
WBPhenotype:0000182,apoptosis reduced,rnai
WBPhenotype:0000183,apoptosis increased,rnai
WBPhenotype:0000184,apoptosis fails to occur,rnai
WBPhenotype:0000186,oogenesis variant,rnai
WBPhenotype:0000187,egg round,allele
WBPhenotype:0000188,gonad arm morphology variant,rnai
WBPhenotype:0000189,hypodermis disorganized,allele
WBPhenotype:0000190,no dauer recovery,allele
WBPhenotype:0000194,first polar body position variant,allele
WBPhenotype:0000195,distal tip cell migration variant,rnai
WBPhenotype:0000196,distal tip cell morphology variant,rnai
WBPhenotype:0000197,cell induction variant,allele
WBPhenotype:0000199,male tail sensory ray development variant,allele
WBPhenotype:0000200,pericellular component development variant,allele
WBPhenotype:0000201,cuticle development variant,allele
WBPhenotype:0000202,alae variant,rnai
WBPhenotype:0000203,odorant adaptation variant,allele
WBPhenotype:0000204,anterior body contraction defecation cycle variant,allele
WBPhenotype:0000205,expulsion variant,rnai
WBPhenotype:0000206,autosomal nondisjunction meiosis,allele
WBPhenotype:0000207,defecation cycle variant,allele
WBPhenotype:0000208,long defecation cycle,allele
WBPhenotype:0000209,short defecation cycle,rnai
WBPhenotype:0000210,defecation contraction variant,allele
WBPhenotype:0000212,body constriction,rnai
WBPhenotype:0000215,no germ line,allele
WBPhenotype:0000216,cell fate specification variant,rnai
WBPhenotype:0000218,vulval cell induction increased,rnai
WBPhenotype:0000219,vulval cell induction reduced,allele
WBPhenotype:0000220,vulva cell fate specification variant,rnai
WBPhenotype:0000221,neurotransmitter metabolism variant,allele
WBPhenotype:0000222,serotonin metabolism variant,allele
WBPhenotype:0000224,serotonin deficient,allele
WBPhenotype:0000227,male turning defective,allele
WBPhenotype:0000228,spontaneous mutation rate increased,rnai
WBPhenotype:0000229,small,rnai
WBPhenotype:0000230,tail withered,allele
WBPhenotype:0000231,body size variant,allele
WBPhenotype:0000232,CAN cell migration variant,allele
WBPhenotype:0000233,dopamine metabolism variant,allele
WBPhenotype:0000234,dopamine deficient,allele
WBPhenotype:0000237,foraging hyperactive,allele
WBPhenotype:0000238,foraging reduced,allele
WBPhenotype:0000239,vulval cell lineage variant,allele
WBPhenotype:0000240,blast cell proliferation reduced,allele
WBPhenotype:0000241,accumulated cell corpses,rnai
WBPhenotype:0000242,body elongation defective,allele
WBPhenotype:0000243,engulfment failure by killer cell,rnai
WBPhenotype:0000245,SM migration variant,allele
WBPhenotype:0000246,defecation cycle variable length,allele
WBPhenotype:0000247,sodium chemotaxis defective,allele
WBPhenotype:0000249,osmotic avoidance defective,allele
WBPhenotype:0000251,octopamine deficient,allele
WBPhenotype:0000252,caffeine resistant,allele
WBPhenotype:0000253,movement erratic,allele
WBPhenotype:0000254,chloride chemotaxis defective,allele
WBPhenotype:0000255,amphid phasmid neuron morphology variant,allele
WBPhenotype:0000256,amphid neuron morphology variant,allele
WBPhenotype:0000257,phasmid neuron morphology variant,allele
WBPhenotype:0000258,cell secretion variant,rnai
WBPhenotype:0000260,sheath cell secretion failure,allele
WBPhenotype:0000262,axoneme morphology variant,allele
WBPhenotype:0000263,axoneme short,allele
WBPhenotype:0000264,cAMP chemotaxis defective,allele
WBPhenotype:0000266,cell cleavage variant,allele
WBPhenotype:0000267,cell cleavage delayed,rnai
WBPhenotype:0000270,pleiotropic defects severe early emb,rnai
WBPhenotype:0000272,egg laying irregular,allele
WBPhenotype:0000273,thrashing reduced,allele
WBPhenotype:0000274,dead eggs laid,rnai
WBPhenotype:0000275,organism UV hypersensitive,allele
WBPhenotype:0000276,organism X ray response variant,rnai
WBPhenotype:0000277,rhythm slow,allele
WBPhenotype:0000279,spicule insertion defective,allele
WBPhenotype:0000280,breaks in alae,allele
WBPhenotype:0000281,male sex muscle development variant,allele
WBPhenotype:0000282,hermaphrodite sex muscle development variant,allele
WBPhenotype:0000283,vulva uterus connection defective,allele
WBPhenotype:0000284,sperm transfer defective,allele
WBPhenotype:0000285,ray tips swollen,allele
WBPhenotype:0000286,embryo disorganized,allele
WBPhenotype:0000288,distal germline variant,allele
WBPhenotype:0000289,uterus morphology variant,rnai
WBPhenotype:0000290,sperm absent,rnai
WBPhenotype:0000291,no oocytes,rnai
WBPhenotype:0000293,alimentary system pigmentation variant,allele
WBPhenotype:0000294,intestine dark,allele
WBPhenotype:0000295,thermotolerance increased,allele
WBPhenotype:0000296,spicules crumpled,allele
WBPhenotype:0000297,rays fused,allele
WBPhenotype:0000298,rays displaced,allele
WBPhenotype:0000299,sensillum morphology variant,allele
WBPhenotype:0000300,amphid sheath cell morphology variant,allele
WBPhenotype:0000301,distal tip cell reflex failure,allele
WBPhenotype:0000302,benzaldehyde chemotaxis defective,allele
WBPhenotype:0000303,diacetyl chemotaxis defective,allele
WBPhenotype:0000304,isoamyl alcohol chemotaxis defective,rnai
WBPhenotype:0000305,pheromone sensation variant,allele
WBPhenotype:0000306,transgene expression variant,rnai
WBPhenotype:0000308,dauer development phenotype,allele
WBPhenotype:0000309,SDS sensitive dauer,allele
WBPhenotype:0000310,cilia absent,allele
WBPhenotype:0000312,dauer pheromone production defective,allele
WBPhenotype:0000313,meiotic progression during oogenesis variant,rnai
WBPhenotype:0000314,scrawny,allele
WBPhenotype:0000315,mechanosensation variant,allele
WBPhenotype:0000316,touch resistant tail,allele
WBPhenotype:0000318,cell cycle delayed,rnai
WBPhenotype:0000319,large,rnai
WBPhenotype:0000320,reduced viability after freezing,allele
WBPhenotype:0000321,nose morphology variant,allele
WBPhenotype:0000322,nose rounded,allele
WBPhenotype:0000323,head swollen,allele
WBPhenotype:0000324,short,allele
WBPhenotype:0000325,arecoline hypersensitive,allele
WBPhenotype:0000327,corpus contraction defect,allele
WBPhenotype:0000328,terminal bulb contraction variant,allele
WBPhenotype:0000329,pumping asynchronous,allele
WBPhenotype:0000330,pharyngeal relaxation defective,allele
WBPhenotype:0000332,inhibitors of sodium potassium ATPase hypersensitive,allele
WBPhenotype:0000333,pharyngeal pumps brief,allele
WBPhenotype:0000334,isthmus corpus slippery,allele
WBPhenotype:0000335,pharynx slippery,allele
WBPhenotype:0000336,terminal bulb relaxation variant,allele
WBPhenotype:0000337,grinder relaxation defective,allele
WBPhenotype:0000338,tail swelling,rnai
WBPhenotype:0000339,transient bloating,allele
WBPhenotype:0000340,imipramine resistant,allele
WBPhenotype:0000341,imipramine hypersensitive,allele
WBPhenotype:0000342,bursa morphology variant,allele
WBPhenotype:0000344,cloacal structures protrude,allele
WBPhenotype:0000345,VPC cell division variant,allele
WBPhenotype:0000346,adult pigmentation variant,rnai
WBPhenotype:0000347,rectal development variant,allele
WBPhenotype:0000349,flaccid,allele
WBPhenotype:0000350,hermaphrodite tail spike variant,allele
WBPhenotype:0000351,failure to hatch,allele
WBPhenotype:0000352,backing uncoordinated,allele
WBPhenotype:0000353,backing increased,allele
WBPhenotype:0000354,cell differentiation variant,rnai
WBPhenotype:0000355,HSN differentiation precocious,allele
WBPhenotype:0000356,spermatogenesis delayed,allele
WBPhenotype:0000357,unfertilized oocytes laid,allele
WBPhenotype:0000358,extra cell division postembryonic,allele
WBPhenotype:0000359,tunicamycin response variant,rnai
WBPhenotype:0000360,cytoplasmic streaming defective,allele
WBPhenotype:0000361,lima bean arrest,rnai
WBPhenotype:0000362,blastocoel variant,allele
WBPhenotype:0000363,cell division slow,allele
WBPhenotype:0000364,gut granule birefringence misplaced,allele
WBPhenotype:0000365,embryo osmotic integrity defective early emb,rnai
WBPhenotype:0000366,three fold arrest,rnai
WBPhenotype:0000367,comma arrest emb,rnai
WBPhenotype:0000368,one point five fold arrest emb,rnai
WBPhenotype:0000369,pretzel arrest,rnai
WBPhenotype:0000370,egg long,allele
WBPhenotype:0000372,no polar body formation,rnai
WBPhenotype:0000373,egg shape variable,rnai
WBPhenotype:0000376,no uterine cavity,allele
WBPhenotype:0000377,canal lumen morphology variant,allele
WBPhenotype:0000378,pharyngeal pumping shallow,allele
WBPhenotype:0000379,head notched,rnai
WBPhenotype:0000380,expulsion infrequent,allele
WBPhenotype:0000381,serotonin reuptake inhibitor resistant,allele
WBPhenotype:0000383,lipid synthesis defective,allele
WBPhenotype:0000384,axon guidance variant,allele
WBPhenotype:0000385,sperm excess,allele
WBPhenotype:0000386,genotoxic chemical induced apoptosis variant,allele
WBPhenotype:0000387,sperm nonmotile,rnai
WBPhenotype:0000388,sperm morphology variant,allele
WBPhenotype:0000389,hermaphrodite sperm fertilization defective,allele
WBPhenotype:0000390,spermatid activation defective,allele
WBPhenotype:0000391,defecation missing motor steps,allele
WBPhenotype:0000392,intestinal fluorescence increased,allele
WBPhenotype:0000393,cell migration failure,rnai
WBPhenotype:0000394,electrophoretic variant protein,allele
WBPhenotype:0000395,no differentiated gametes,allele
WBPhenotype:0000396,non reflexed gonad arms,rnai
WBPhenotype:0000397,harsh body touch resistant,allele
WBPhenotype:0000398,light body touch resistant,allele
WBPhenotype:0000399,somatic gonad development variant,rnai
WBPhenotype:0000400,somatic gonad primordium development defective,allele
WBPhenotype:0000401,no uterus,allele
WBPhenotype:0000402,avoids bacterial lawn,rnai
WBPhenotype:0000403,sperm transfer initiation defective,allele
WBPhenotype:0000404,delayed hatching,rnai
WBPhenotype:0000405,giant oocytes,rnai
WBPhenotype:0000406,lumpy,allele
WBPhenotype:0000408,dauer recovery inhibited,allele
WBPhenotype:0000409,organism morphology variable,allele
WBPhenotype:0000410,no defecation cycle,rnai
WBPhenotype:0000411,rod like larval lethal,allele
WBPhenotype:0000412,octanol chemotaxis defective,allele
WBPhenotype:0000413,pharyngeal muscle paralyzed,allele
WBPhenotype:0000414,cell fate transformation,allele
WBPhenotype:0000415,necrotic cell death variant,rnai
WBPhenotype:0000416,yolk synthesis variant,allele
WBPhenotype:0000417,cell division failure,rnai
WBPhenotype:0000419,L3 lethal,allele
WBPhenotype:0000420,levamisole hypersensitive,allele
WBPhenotype:0000421,levamisole resistant,rnai
WBPhenotype:0000422,twitcher,allele
WBPhenotype:0000423,head muscle contraction variant,allele
WBPhenotype:0000424,antibody staining variant,allele
WBPhenotype:0000425,antibody staining reduced,rnai
WBPhenotype:0000426,antibody staining increased,allele
WBPhenotype:0000428,no adult cuticle,allele
WBPhenotype:0000430,male copulatory structure development variant,allele
WBPhenotype:0000432,male copulatory structure absent,allele
WBPhenotype:0000433,DNA synthesis variant,rnai
WBPhenotype:0000434,sexual maturation defective,allele
WBPhenotype:0000436,protein subcellular localization variant,allele
WBPhenotype:0000438,retarded heterochronic variations,allele
WBPhenotype:0000439,precocious heterochronic variations,rnai
WBPhenotype:0000440,excretory canals long,allele
WBPhenotype:0000441,tail rounded,allele
WBPhenotype:0000442,larval development retarded,allele
WBPhenotype:0000443,spicule morphology variant,allele
WBPhenotype:0000444,bursa elongated,allele
WBPhenotype:0000445,yolk synthesis in males,allele
WBPhenotype:0000446,supernumerary molt,allele
WBPhenotype:0000447,adult development variant,allele
WBPhenotype:0000448,adult cuticle development variant,rnai
WBPhenotype:0000451,head protrusion,allele
WBPhenotype:0000452,tail protrusions,allele
WBPhenotype:0000453,body protrusions,allele
WBPhenotype:0000454,head twisted,allele
WBPhenotype:0000455,jerky movement,allele
WBPhenotype:0000456,touch resistant,allele
WBPhenotype:0000457,organism starvation hypersensitive,allele
WBPhenotype:0000458,starvation resistant,rnai
WBPhenotype:0000459,pesticide response variant,rnai
WBPhenotype:0000460,paraquat response variant,allele
WBPhenotype:0000461,paraquat resistant,rnai
WBPhenotype:0000462,paraquat hypersensitive,allele
WBPhenotype:0000463,metabolic pathway variant,allele
WBPhenotype:0000464,oxygen response variant,rnai
WBPhenotype:0000466,high oxygen hypersensitive,allele
WBPhenotype:0000467,age associated fluorescence increased,rnai
WBPhenotype:0000468,age associated fluorescence reduced,rnai
WBPhenotype:0000469,Q neuroblast lineage migration variant,rnai
WBPhenotype:0000470,HSN migration variant,allele
WBPhenotype:0000471,ALM migration variant,allele
WBPhenotype:0000472,endoderm absent,rnai
WBPhenotype:0000473,progressive paralysis,rnai
WBPhenotype:0000474,muscle attachment variant,allele
WBPhenotype:0000475,muscle detached,rnai
WBPhenotype:0000476,progressive muscle detachment,allele
WBPhenotype:0000477,nucleolus refraction variant,allele
WBPhenotype:0000478,isothermal tracking behavior variant,allele
WBPhenotype:0000480,pyrazine chemotaxis defective,allele
WBPhenotype:0000481,negative chemotaxis variant,allele
WBPhenotype:0000483,no gut granules,rnai
WBPhenotype:0000484,embryo small,rnai
WBPhenotype:0000485,dauer death increased,allele
WBPhenotype:0000486,colchicine hypersensitive,allele
WBPhenotype:0000487,colchicine resistant,allele
WBPhenotype:0000488,chloroquine hypersensitive,allele
WBPhenotype:0000490,pharynx disorganized,rnai
WBPhenotype:0000491,isthmus morphology defective,allele
WBPhenotype:0000492,corpus morphology defective,allele
WBPhenotype:0000493,metacorpus morphology defective,allele
WBPhenotype:0000494,two fold arrest,rnai
WBPhenotype:0000495,ray ectopic,rnai
WBPhenotype:0000496,male postdeirid sensilla absent,allele
WBPhenotype:0000497,organism gamma ray response variant,rnai
WBPhenotype:0000500,acetylcholinesterase inhibitor hypersensitive,allele
WBPhenotype:0000501,left handed roller,allele
WBPhenotype:0000502,right handed roller,allele
WBPhenotype:0000503,endoreduplication variant,allele
WBPhenotype:0000504,nuclear division variant,allele
WBPhenotype:0000505,male ray morphology variant,allele
WBPhenotype:0000506,bursa swollen,allele
WBPhenotype:0000507,acetylcholine levels variant,allele
WBPhenotype:0000508,nonsense mRNA accumulation,rnai
WBPhenotype:0000509,sperm pseudopod variant,rnai
WBPhenotype:0000510,vulval invagination variant L4,allele
WBPhenotype:0000511,nuclear positioning variant,allele
WBPhenotype:0000512,VNC nuclear positioning variant,allele
WBPhenotype:0000514,rubber band,allele
WBPhenotype:0000515,ventral nerve cord development variant,allele
WBPhenotype:0000516,ventral cord disorganized,rnai
WBPhenotype:0000517,behavior phenotype,allele
WBPhenotype:0000518,development phenotype,rnai
WBPhenotype:0000519,physiology phenotype,allele
WBPhenotype:0000520,morphology phenotype,allele
WBPhenotype:0000521,pigmentation phenotype,allele
WBPhenotype:0000523,chemical response variant,allele
WBPhenotype:0000525,organism behavior variant,allele
WBPhenotype:0000527,organism pigmentation phenotype,rnai
WBPhenotype:0000529,cell development variant,rnai
WBPhenotype:0000531,organism development variant,rnai
WBPhenotype:0000532,body region morphology variant,allele
WBPhenotype:0000533,cell morphology variant,rnai
WBPhenotype:0000535,organism morphology variant,rnai
WBPhenotype:0000536,cell physiology phenotype,allele
WBPhenotype:0000539,dorsal nerve cord development variant,rnai
WBPhenotype:0000540,muscle arm development variant,allele
WBPhenotype:0000541,cord commissures fail to reach target,rnai
WBPhenotype:0000542,fat,allele
WBPhenotype:0000543,forward kinker,allele
WBPhenotype:0000544,backward kinker,allele
WBPhenotype:0000545,egg retention,allele
WBPhenotype:0000546,early eggs laid,allele
WBPhenotype:0000547,starved,allele
WBPhenotype:0000548,muscle dystrophy,allele
WBPhenotype:0000549,head muscle dystrophy,allele
WBPhenotype:0000550,body muscle dystrophy,rnai
WBPhenotype:0000551,omega turns variant,allele
WBPhenotype:0000552,GABA levels variant,allele
WBPhenotype:0000553,muscle birefringence variant,allele
WBPhenotype:0000554,hypoosmotic shock hypersensitive,rnai
WBPhenotype:0000555,drug adaptation variant,allele
WBPhenotype:0000556,dopamine adaptation variant,allele
WBPhenotype:0000557,dopamine adaptation defective,allele
WBPhenotype:0000559,calcium channel modulator hypersensitive,allele
WBPhenotype:0000561,head levamisole resistant,allele
WBPhenotype:0000562,body levamisole resistant,allele
WBPhenotype:0000563,shrinker,allele
WBPhenotype:0000564,echo defecation cycle,rnai
WBPhenotype:0000565,coiler,allele
WBPhenotype:0000566,ventral coiler,allele
WBPhenotype:0000569,axon varicosities,allele
WBPhenotype:0000571,axon vesicle variant,allele
WBPhenotype:0000572,neuronal outgrowth variant,allele
WBPhenotype:0000574,excretory canal short,allele
WBPhenotype:0000576,organism physiology phenotype,allele
WBPhenotype:0000577,organism homeostasis metabolism variant,rnai
WBPhenotype:0000578,body axis development variant,rnai
WBPhenotype:0000583,dumpy,allele
WBPhenotype:0000584,synaptic transmission variant,allele
WBPhenotype:0000585,cell homeostasis metabolism variant,rnai
WBPhenotype:0000586,bleach hypersensitive,allele
WBPhenotype:0000590,cell corpse number variant,allele
WBPhenotype:0000591,metal response variant,rnai
WBPhenotype:0000592,copper response variant,allele
WBPhenotype:0000593,copper hypersensitive,allele
WBPhenotype:0000594,cell migration variant,rnai
WBPhenotype:0000595,head behavior variant,rnai
WBPhenotype:0000600,epithelial system morphology variant,rnai
WBPhenotype:0000601,excretory secretory system morphology variant,allele
WBPhenotype:0000603,muscle system morphology variant,allele
WBPhenotype:0000604,nervous system morphology variant,allele
WBPhenotype:0000605,reproductive system morphology variant,rnai
WBPhenotype:0000610,excretory system physiology variant,rnai
WBPhenotype:0000611,muscle system physiology variant,allele
WBPhenotype:0000612,nervous system physiology variant,rnai
WBPhenotype:0000613,reproductive system physiology variant,rnai
WBPhenotype:0000615,cilia morphology variant,allele
WBPhenotype:0000616,synapse morphology variant,allele
WBPhenotype:0000617,alimentary system development variant,allele
WBPhenotype:0000618,coelomic system development variant,rnai
WBPhenotype:0000619,epithelial system development variant,rnai
WBPhenotype:0000621,excretory system development variant,allele
WBPhenotype:0000622,muscle system development variant,rnai
WBPhenotype:0000623,nervous system development variant,allele
WBPhenotype:0000624,reproductive system development variant,allele
WBPhenotype:0000625,synaptogenesis variant,allele
WBPhenotype:0000628,spindle assembly defective early emb,rnai
WBPhenotype:0000630,quinine chemotaxis defective,allele
WBPhenotype:0000631,drug response variant,allele
WBPhenotype:0000632,axon fasciculation variant,allele
WBPhenotype:0000633,axon branching variant,allele
WBPhenotype:0000634,pharyngeal pumping variant,rnai
WBPhenotype:0000636,neuron degeneration variant,rnai
WBPhenotype:0000637,dauer formation variant,allele
WBPhenotype:0000638,molt defect,rnai
WBPhenotype:0000639,temperature induced dauer formation variant,allele
WBPhenotype:0000640,egg laying variant,rnai
WBPhenotype:0000641,activity level variant,allele
WBPhenotype:0000642,hyperactive,allele
WBPhenotype:0000643,locomotion variant,allele
WBPhenotype:0000644,paralyzed,rnai
WBPhenotype:0000645,roller,allele
WBPhenotype:0000646,sluggish,allele
WBPhenotype:0000647,copulation variant,allele
WBPhenotype:0000648,male mating variant,allele
WBPhenotype:0000649,vulva location variant,allele
WBPhenotype:0000650,defecation variant,allele
WBPhenotype:0000651,constipated,allele
WBPhenotype:0000652,sensory system variant,allele
WBPhenotype:0000653,mechanosensory system variant,allele
WBPhenotype:0000654,synaptic vesicle exocytosis variant,allele
WBPhenotype:0000655,GABA synaptic transmission variant,allele
WBPhenotype:0000656,acetylcholine synaptic transmission variant,allele
WBPhenotype:0000657,neuronal synaptic transmission variant,allele
WBPhenotype:0000658,neuromuscular synaptic transmission variant,allele
WBPhenotype:0000659,feeding behavior variant,allele
WBPhenotype:0000660,social feeding increased,allele
WBPhenotype:0000661,solitary feeding increased,allele
WBPhenotype:0000662,foraging behavior variant,rnai
WBPhenotype:0000663,osmotic avoidance variant,allele
WBPhenotype:0000664,exaggerated body bends,allele
WBPhenotype:0000665,connection of gonad variant,allele
WBPhenotype:0000666,ovulation variant,rnai
WBPhenotype:0000667,gonad displaced,rnai
WBPhenotype:0000668,endomitotic oocytes,allele
WBPhenotype:0000669,sex muscle development variant,allele
WBPhenotype:0000670,spermatogenesis variant,allele
WBPhenotype:0000671,resistant to copper,allele
WBPhenotype:0000672,presynaptic vesicle cluster localization variant,allele
WBPhenotype:0000673,brood size variant,allele
WBPhenotype:0000674,slow development,allele
WBPhenotype:0000675,zygotic lethal,allele
WBPhenotype:0000676,growth rate variant,rnai
