Go_Id,Category,Term
GO:0000291,Biological_process,"obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic"
GO:0000301,Biological_process,"retrograde transport, vesicle recycling within Golgi"
GO:0000302,Biological_process,response to reactive oxygen species
GO:0000303,Biological_process,response to superoxide
GO:0000335,Biological_process,"obsolete negative regulation of transposition, DNA-mediated"
GO:0000338,Biological_process,protein deneddylation
GO:0000349,Biological_process,generation of catalytic spliceosome for first transesterification step
GO:0000350,Biological_process,generation of catalytic spliceosome for second transesterification step
GO:0000366,Biological_process,intergenic mRNA trans splicing
GO:0000375,Biological_process,"RNA splicing, via transesterification reactions"
GO:0000379,Biological_process,tRNA-type intron splice site recognition and cleavage
GO:0000380,Biological_process,"alternative mRNA splicing, via spliceosome"
GO:0000381,Biological_process,"regulation of alternative mRNA splicing, via spliceosome"
GO:0000387,Biological_process,spliceosomal snRNP assembly
GO:0000388,Biological_process,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389,Biological_process,mRNA 3'-splice site recognition
GO:0000390,Biological_process,spliceosomal complex disassembly
GO:0000395,Biological_process,mRNA 5'-splice site recognition
GO:0000398,Biological_process,"mRNA splicing, via spliceosome"
GO:0000413,Biological_process,protein peptidyl-prolyl isomerization
GO:0000423,Biological_process,mitophagy
GO:0000447,Biological_process,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000448,Biological_process,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000454,Biological_process,snoRNA guided rRNA pseudouridine synthesis
GO:0000455,Biological_process,enzyme-directed rRNA pseudouridine synthesis
GO:0000460,Biological_process,maturation of 5.8S rRNA
GO:0000461,Biological_process,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000462,Biological_process,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000463,Biological_process,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000466,Biological_process,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000467,Biological_process,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000470,Biological_process,maturation of LSU-rRNA
GO:0000472,Biological_process,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000478,Biological_process,obsolete endonucleolytic cleavage involved in rRNA processing
GO:0000479,Biological_process,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000480,Biological_process,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000481,Biological_process,maturation of 5S rRNA
GO:0000492,Biological_process,box C/D snoRNP assembly
GO:0000493,Biological_process,box H/ACA snoRNP assembly
GO:0000494,Biological_process,box C/D sno(s)RNA 3'-end processing
GO:0000495,Biological_process,box H/ACA sno(s)RNA 3'-end processing
GO:0000578,Biological_process,embryonic axis specification
GO:0000706,Biological_process,meiotic DNA double-strand break processing
GO:0000707,Biological_process,meiotic DNA recombinase assembly
GO:0000712,Biological_process,resolution of meiotic recombination intermediates
GO:0000715,Biological_process,"nucleotide-excision repair, DNA damage recognition"
GO:0000722,Biological_process,telomere maintenance via recombination
GO:0000723,Biological_process,telomere maintenance
GO:0000724,Biological_process,double-strand break repair via homologous recombination
GO:0000727,Biological_process,double-strand break repair via break-induced replication
GO:0000730,Biological_process,DNA recombinase assembly
GO:0000768,Biological_process,syncytium formation by plasma membrane fusion
GO:0000819,Biological_process,sister chromatid segregation
GO:0000902,Biological_process,cell morphogenesis
GO:0000915,Biological_process,actomyosin contractile ring assembly
GO:0000956,Biological_process,nuclear-transcribed mRNA catabolic process
GO:0000958,Biological_process,mitochondrial mRNA catabolic process
GO:0000963,Biological_process,mitochondrial RNA processing
GO:0000965,Biological_process,mitochondrial RNA 3'-end processing
GO:0000971,Biological_process,"tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate"
GO:0000972,Biological_process,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973,Biological_process,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0001111,Biological_process,RNA polymerase II promoter clearance
GO:0001113,Biological_process,transcription open complex formation at RNA polymerase II promoter
GO:0001172,Biological_process,RNA-templated transcription
GO:0001188,Biological_process,RNA polymerase I preinitiation complex assembly
GO:0001193,Biological_process,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
GO:0001504,Biological_process,neurotransmitter uptake
GO:0001507,Biological_process,acetylcholine catabolic process in synaptic cleft
GO:0001508,Biological_process,action potential
GO:0001510,Biological_process,RNA methylation
GO:0001514,Biological_process,selenocysteine incorporation
GO:0001516,Biological_process,prostaglandin biosynthetic process
GO:0001522,Biological_process,pseudouridine synthesis
GO:0001525,Biological_process,angiogenesis
GO:0001555,Biological_process,oocyte growth
GO:0001556,Biological_process,oocyte maturation
GO:0001558,Biological_process,regulation of cell growth
GO:0001561,Biological_process,fatty acid alpha-oxidation
GO:0001578,Biological_process,microtubule bundle formation
GO:0001582,Biological_process,detection of chemical stimulus involved in sensory perception of sweet taste
GO:0001654,Biological_process,eye development
GO:0001661,Biological_process,conditioned taste aversion
GO:0001666,Biological_process,response to hypoxia
GO:0001676,Biological_process,long-chain fatty acid metabolic process
GO:0001678,Biological_process,intracellular glucose homeostasis
GO:0001680,Biological_process,tRNA 3'-terminal CCA addition
GO:0001682,Biological_process,tRNA 5'-leader removal
GO:0001704,Biological_process,formation of primary germ layer
GO:0001708,Biological_process,cell fate specification
GO:0001709,Biological_process,cell fate determination
GO:0001711,Biological_process,endodermal cell fate commitment
GO:0001712,Biological_process,ectodermal cell fate commitment
GO:0001714,Biological_process,endodermal cell fate specification
GO:0001715,Biological_process,ectodermal cell fate specification
GO:0001717,Biological_process,conversion of seryl-tRNAsec to selenocys-tRNAsec
GO:0001731,Biological_process,formation of translation preinitiation complex
GO:0001732,Biological_process,formation of cytoplasmic translation initiation complex
GO:0001736,Biological_process,establishment of planar polarity
GO:0001738,Biological_process,morphogenesis of a polarized epithelium
GO:0001764,Biological_process,neuron migration
GO:0001778,Biological_process,plasma membrane repair
GO:0001820,Biological_process,serotonin secretion
GO:0001836,Biological_process,release of cytochrome c from mitochondria
GO:0001845,Biological_process,phagolysosome assembly
GO:0001881,Biological_process,receptor recycling
GO:0001932,Biological_process,regulation of protein phosphorylation
GO:0001933,Biological_process,negative regulation of protein phosphorylation
GO:0001934,Biological_process,positive regulation of protein phosphorylation
GO:0001956,Biological_process,positive regulation of neurotransmitter secretion
GO:0001963,Biological_process,"synaptic transmission, dopaminergic"
GO:0001966,Biological_process,thigmotaxis
GO:0002009,Biological_process,morphogenesis of an epithelium
GO:0002011,Biological_process,morphogenesis of an epithelial sheet
GO:0002028,Biological_process,regulation of sodium ion transport
GO:0002031,Biological_process,G protein-coupled receptor internalization
GO:0002064,Biological_process,epithelial cell development
GO:0002082,Biological_process,regulation of oxidative phosphorylation
GO:0002092,Biological_process,positive regulation of receptor internalization
GO:0002098,Biological_process,tRNA wobble uridine modification
GO:0002100,Biological_process,tRNA wobble adenosine to inosine editing
GO:0002115,Biological_process,store-operated calcium entry
GO:0002119,Biological_process,nematode larval development
GO:0002128,Biological_process,tRNA nucleoside ribose methylation
GO:0002130,Biological_process,wobble position ribose methylation
GO:0002143,Biological_process,tRNA wobble position uridine thiolation
GO:0002164,Biological_process,larval development
GO:0002181,Biological_process,cytoplasmic translation
GO:0002182,Biological_process,cytoplasmic translational elongation
GO:0002183,Biological_process,cytoplasmic translational initiation
GO:0002184,Biological_process,cytoplasmic translational termination
GO:0002188,Biological_process,translation reinitiation
GO:0002191,Biological_process,cap-dependent translational initiation
GO:0002218,Biological_process,activation of innate immune response
GO:0002225,Biological_process,positive regulation of antimicrobial peptide production
GO:0002230,Biological_process,positive regulation of defense response to virus by host
GO:0002250,Biological_process,adaptive immune response
GO:0002253,Biological_process,activation of immune response
GO:0002495,Biological_process,antigen processing and presentation of peptide antigen via MHC class II
GO:0002785,Biological_process,negative regulation of antimicrobial peptide production
GO:0002791,Biological_process,regulation of peptide secretion
GO:0002804,Biological_process,positive regulation of antifungal peptide production
GO:0002821,Biological_process,positive regulation of adaptive immune response
GO:0002926,Biological_process,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
GO:0002939,Biological_process,tRNA N1-guanine methylation
GO:0002940,Biological_process,tRNA N2-guanine methylation
GO:0002943,Biological_process,tRNA dihydrouridine synthesis
GO:0002949,Biological_process,tRNA threonylcarbamoyladenosine modification
GO:0003006,Biological_process,developmental process involved in reproduction
GO:0003009,Biological_process,skeletal muscle contraction
GO:0003031,Biological_process,detection of carbon dioxide
GO:0003032,Biological_process,detection of oxygen
GO:0003333,Biological_process,amino acid transmembrane transport
GO:0003384,Biological_process,apical constriction involved in gastrulation
GO:0003386,Biological_process,amphid sensory organ development
GO:0003387,Biological_process,neuron differentiation involved in amphid sensory organ development
GO:0003388,Biological_process,neuron development involved in amphid sensory organ development
GO:0003391,Biological_process,amphid sensory organ dendrite retrograde extension
GO:0003398,Biological_process,glial cell differentiation involved in amphid sensory organ development
GO:0003400,Biological_process,regulation of COPII vesicle coating
GO:0005975,Biological_process,carbohydrate metabolic process
GO:0005976,Biological_process,polysaccharide metabolic process
GO:0005977,Biological_process,glycogen metabolic process
GO:0005978,Biological_process,glycogen biosynthetic process
GO:0005979,Biological_process,regulation of glycogen biosynthetic process
GO:0005980,Biological_process,glycogen catabolic process
GO:0005986,Biological_process,sucrose biosynthetic process
GO:0005991,Biological_process,trehalose metabolic process
GO:0005992,Biological_process,trehalose biosynthetic process
GO:0005993,Biological_process,trehalose catabolic process
GO:0005997,Biological_process,xylulose metabolic process
GO:0005998,Biological_process,xylulose catabolic process
GO:0006000,Biological_process,fructose metabolic process
GO:0006002,Biological_process,fructose 6-phosphate metabolic process
GO:0006003,Biological_process,"fructose 2,6-bisphosphate metabolic process"
GO:0006004,Biological_process,fucose metabolic process
GO:0006006,Biological_process,glucose metabolic process
GO:0006007,Biological_process,glucose catabolic process
GO:0006011,Biological_process,UDP-glucose metabolic process
GO:0006012,Biological_process,galactose metabolic process
GO:0006013,Biological_process,mannose metabolic process
GO:0006014,Biological_process,D-ribose metabolic process
GO:0006015,Biological_process,5-phosphoribose 1-diphosphate biosynthetic process
GO:0006020,Biological_process,inositol metabolic process
GO:0006021,Biological_process,inositol biosynthetic process
GO:0006024,Biological_process,glycosaminoglycan biosynthetic process
GO:0006031,Biological_process,chitin biosynthetic process
GO:0006032,Biological_process,chitin catabolic process
GO:0006038,Biological_process,cell wall chitin biosynthetic process
GO:0006040,Biological_process,amino sugar metabolic process
GO:0006043,Biological_process,glucosamine catabolic process
GO:0006044,Biological_process,N-acetylglucosamine metabolic process
GO:0006046,Biological_process,N-acetylglucosamine catabolic process
GO:0006047,Biological_process,UDP-N-acetylglucosamine metabolic process
GO:0006048,Biological_process,UDP-N-acetylglucosamine biosynthetic process
GO:0006062,Biological_process,sorbitol catabolic process
GO:0006065,Biological_process,UDP-glucuronate biosynthetic process
GO:0006066,Biological_process,alcohol metabolic process
GO:0006071,Biological_process,glycerol metabolic process
GO:0006072,Biological_process,glycerol-3-phosphate metabolic process
GO:0006081,Biological_process,cellular aldehyde metabolic process
GO:0006082,Biological_process,organic acid metabolic process
GO:0006083,Biological_process,acetate metabolic process
GO:0006084,Biological_process,acetyl-CoA metabolic process
GO:0006085,Biological_process,acetyl-CoA biosynthetic process
GO:0006086,Biological_process,acetyl-CoA biosynthetic process from pyruvate
GO:0006089,Biological_process,lactate metabolic process
GO:0006090,Biological_process,pyruvate metabolic process
GO:0006091,Biological_process,generation of precursor metabolites and energy
GO:0006094,Biological_process,gluconeogenesis
GO:0006096,Biological_process,glycolytic process
GO:0006097,Biological_process,glyoxylate cycle
GO:0006098,Biological_process,pentose-phosphate shunt
GO:0006099,Biological_process,tricarboxylic acid cycle
GO:0006101,Biological_process,citrate metabolic process
GO:0006102,Biological_process,isocitrate metabolic process
GO:0006103,Biological_process,2-oxoglutarate metabolic process
GO:0006104,Biological_process,succinyl-CoA metabolic process
GO:0006105,Biological_process,succinate metabolic process
GO:0006106,Biological_process,fumarate metabolic process
GO:0006107,Biological_process,oxaloacetate metabolic process
GO:0006108,Biological_process,malate metabolic process
GO:0006112,Biological_process,energy reserve metabolic process
GO:0006116,Biological_process,NADH oxidation
GO:0006119,Biological_process,oxidative phosphorylation
GO:0006120,Biological_process,"mitochondrial electron transport, NADH to ubiquinone"
GO:0006121,Biological_process,"mitochondrial electron transport, succinate to ubiquinone"
GO:0006122,Biological_process,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0006123,Biological_process,"mitochondrial electron transport, cytochrome c to oxygen"
GO:0006139,Biological_process,nucleobase-containing compound metabolic process
GO:0006144,Biological_process,purine nucleobase metabolic process
GO:0006152,Biological_process,purine nucleoside catabolic process
GO:0006154,Biological_process,adenosine catabolic process
GO:0006163,Biological_process,purine nucleotide metabolic process
GO:0006164,Biological_process,purine nucleotide biosynthetic process
GO:0006166,Biological_process,purine ribonucleoside salvage
GO:0006167,Biological_process,AMP biosynthetic process
GO:0006168,Biological_process,adenine salvage
GO:0006171,Biological_process,cAMP biosynthetic process
GO:0006172,Biological_process,ADP biosynthetic process
GO:0006177,Biological_process,GMP biosynthetic process
GO:0006178,Biological_process,guanine salvage
GO:0006182,Biological_process,cGMP biosynthetic process
GO:0006183,Biological_process,GTP biosynthetic process
GO:0006188,Biological_process,IMP biosynthetic process
GO:0006189,Biological_process,'de novo' IMP biosynthetic process
GO:0006198,Biological_process,cAMP catabolic process
GO:0006203,Biological_process,dGTP catabolic process
GO:0006207,Biological_process,'de novo' pyrimidine nucleobase biosynthetic process
GO:0006208,Biological_process,pyrimidine nucleobase catabolic process
GO:0006210,Biological_process,thymine catabolic process
GO:0006212,Biological_process,uracil catabolic process
GO:0006214,Biological_process,thymidine catabolic process
GO:0006217,Biological_process,deoxycytidine catabolic process
GO:0006218,Biological_process,uridine catabolic process
GO:0006221,Biological_process,pyrimidine nucleotide biosynthetic process
GO:0006222,Biological_process,UMP biosynthetic process
GO:0006225,Biological_process,UDP biosynthetic process
GO:0006226,Biological_process,dUMP biosynthetic process
GO:0006227,Biological_process,dUDP biosynthetic process
GO:0006228,Biological_process,UTP biosynthetic process
GO:0006231,Biological_process,dTMP biosynthetic process
GO:0006233,Biological_process,dTDP biosynthetic process
GO:0006235,Biological_process,dTTP biosynthetic process
GO:0006241,Biological_process,CTP biosynthetic process
GO:0006256,Biological_process,UDP catabolic process
GO:0006259,Biological_process,DNA metabolic process
GO:0006260,Biological_process,DNA replication
GO:0006261,Biological_process,DNA-templated DNA replication
GO:0006264,Biological_process,mitochondrial DNA replication
GO:0006265,Biological_process,DNA topological change
GO:0006266,Biological_process,DNA ligation
GO:0006268,Biological_process,DNA unwinding involved in DNA replication
GO:0006269,Biological_process,"DNA replication, synthesis of primer"
GO:0006270,Biological_process,DNA replication initiation
GO:0006271,Biological_process,DNA strand elongation involved in DNA replication
GO:0006272,Biological_process,leading strand elongation
GO:0006273,Biological_process,lagging strand elongation
GO:0006274,Biological_process,DNA replication termination
GO:0006275,Biological_process,regulation of DNA replication
GO:0006278,Biological_process,RNA-templated DNA biosynthetic process
GO:0006281,Biological_process,DNA repair
GO:0006282,Biological_process,regulation of DNA repair
GO:0006283,Biological_process,transcription-coupled nucleotide-excision repair
GO:0006284,Biological_process,base-excision repair
GO:0006285,Biological_process,"base-excision repair, AP site formation"
GO:0006287,Biological_process,"base-excision repair, gap-filling"
GO:0006289,Biological_process,nucleotide-excision repair
GO:0006294,Biological_process,"nucleotide-excision repair, preincision complex assembly"
GO:0006297,Biological_process,"nucleotide-excision repair, DNA gap filling"
GO:0006298,Biological_process,mismatch repair
GO:0006301,Biological_process,postreplication repair
GO:0006302,Biological_process,double-strand break repair
GO:0006303,Biological_process,double-strand break repair via nonhomologous end joining
GO:0006307,Biological_process,DNA alkylation repair
GO:0006308,Biological_process,DNA catabolic process
GO:0006309,Biological_process,apoptotic DNA fragmentation
GO:0006310,Biological_process,DNA recombination
GO:0006312,Biological_process,mitotic recombination
GO:0006325,Biological_process,chromatin organization
GO:0006334,Biological_process,nucleosome assembly
GO:0006335,Biological_process,DNA replication-dependent chromatin assembly
GO:0006337,Biological_process,nucleosome disassembly
GO:0006338,Biological_process,chromatin remodeling
GO:0006346,Biological_process,DNA methylation-dependent heterochromatin formation
GO:0006351,Biological_process,DNA-templated transcription
GO:0006352,Biological_process,DNA-templated transcription initiation
GO:0006353,Biological_process,DNA-templated transcription termination
GO:0006354,Biological_process,DNA-templated transcription elongation
GO:0006355,Biological_process,regulation of DNA-templated transcription
GO:0006357,Biological_process,regulation of transcription by RNA polymerase II
GO:0006360,Biological_process,transcription by RNA polymerase I
GO:0006361,Biological_process,transcription initiation at RNA polymerase I promoter
GO:0006362,Biological_process,transcription elongation by RNA polymerase I
GO:0006363,Biological_process,termination of RNA polymerase I transcription
GO:0006364,Biological_process,rRNA processing
GO:0006366,Biological_process,transcription by RNA polymerase II
GO:0006367,Biological_process,transcription initiation at RNA polymerase II promoter
GO:0006368,Biological_process,transcription elongation by RNA polymerase II
GO:0006369,Biological_process,termination of RNA polymerase II transcription
GO:0006370,Biological_process,7-methylguanosine mRNA capping
GO:0006376,Biological_process,mRNA splice site recognition
GO:0006378,Biological_process,obsolete mRNA polyadenylation
GO:0006382,Biological_process,adenosine to inosine editing
GO:0006383,Biological_process,transcription by RNA polymerase III
GO:0006384,Biological_process,transcription initiation at RNA polymerase III promoter
GO:0006386,Biological_process,termination of RNA polymerase III transcription
GO:0006388,Biological_process,"tRNA splicing, via endonucleolytic cleavage and ligation"
GO:0006390,Biological_process,mitochondrial transcription
GO:0006391,Biological_process,transcription initiation at mitochondrial promoter
GO:0006396,Biological_process,RNA processing
GO:0006397,Biological_process,mRNA processing
GO:0006398,Biological_process,mRNA 3'-end processing by stem-loop binding and cleavage
GO:0006399,Biological_process,tRNA metabolic process
GO:0006400,Biological_process,tRNA modification
GO:0006401,Biological_process,RNA catabolic process
GO:0006402,Biological_process,mRNA catabolic process
GO:0006403,Biological_process,RNA localization
GO:0006404,Biological_process,RNA import into nucleus
GO:0006405,Biological_process,RNA export from nucleus
GO:0006406,Biological_process,mRNA export from nucleus
GO:0006408,Biological_process,snRNA export from nucleus
GO:0006409,Biological_process,tRNA export from nucleus
GO:0006412,Biological_process,translation
GO:0006413,Biological_process,translational initiation
GO:0006414,Biological_process,translational elongation
GO:0006415,Biological_process,translational termination
GO:0006417,Biological_process,regulation of translation
GO:0006418,Biological_process,tRNA aminoacylation for protein translation
GO:0006419,Biological_process,alanyl-tRNA aminoacylation
GO:0006420,Biological_process,arginyl-tRNA aminoacylation
GO:0006421,Biological_process,asparaginyl-tRNA aminoacylation
GO:0006422,Biological_process,aspartyl-tRNA aminoacylation
GO:0006423,Biological_process,cysteinyl-tRNA aminoacylation
GO:0006424,Biological_process,glutamyl-tRNA aminoacylation
GO:0006425,Biological_process,glutaminyl-tRNA aminoacylation
GO:0006426,Biological_process,glycyl-tRNA aminoacylation
GO:0006427,Biological_process,histidyl-tRNA aminoacylation
GO:0006428,Biological_process,isoleucyl-tRNA aminoacylation
GO:0006429,Biological_process,leucyl-tRNA aminoacylation
GO:0006430,Biological_process,lysyl-tRNA aminoacylation
GO:0006431,Biological_process,methionyl-tRNA aminoacylation
GO:0006432,Biological_process,phenylalanyl-tRNA aminoacylation
GO:0006433,Biological_process,prolyl-tRNA aminoacylation
GO:0006434,Biological_process,seryl-tRNA aminoacylation
GO:0006435,Biological_process,threonyl-tRNA aminoacylation
GO:0006436,Biological_process,tryptophanyl-tRNA aminoacylation
GO:0006437,Biological_process,tyrosyl-tRNA aminoacylation
GO:0006438,Biological_process,valyl-tRNA aminoacylation
GO:0006446,Biological_process,regulation of translational initiation
GO:0006449,Biological_process,regulation of translational termination
GO:0006450,Biological_process,regulation of translational fidelity
GO:0006457,Biological_process,protein folding
GO:0006465,Biological_process,signal peptide processing
GO:0006468,Biological_process,protein phosphorylation
GO:0006469,Biological_process,negative regulation of protein kinase activity
GO:0006470,Biological_process,protein dephosphorylation
GO:0006473,Biological_process,protein acetylation
GO:0006474,Biological_process,N-terminal protein amino acid acetylation
GO:0006478,Biological_process,peptidyl-tyrosine sulfation
GO:0006479,Biological_process,protein methylation
GO:0006480,Biological_process,N-terminal protein amino acid methylation
GO:0006481,Biological_process,C-terminal protein methylation
GO:0006482,Biological_process,protein demethylation
GO:0006486,Biological_process,protein glycosylation
GO:0006487,Biological_process,protein N-linked glycosylation
GO:0006488,Biological_process,dolichol-linked oligosaccharide biosynthetic process
GO:0006490,Biological_process,oligosaccharide-lipid intermediate biosynthetic process
GO:0006491,Biological_process,N-glycan processing
GO:0006493,Biological_process,protein O-linked glycosylation
GO:0006497,Biological_process,protein lipidation
GO:0006499,Biological_process,N-terminal protein myristoylation
GO:0006505,Biological_process,GPI anchor metabolic process
GO:0006506,Biological_process,GPI anchor biosynthetic process
GO:0006508,Biological_process,proteolysis
GO:0006509,Biological_process,membrane protein ectodomain proteolysis
GO:0006511,Biological_process,ubiquitin-dependent protein catabolic process
GO:0006513,Biological_process,protein monoubiquitination
GO:0006515,Biological_process,protein quality control for misfolded or incompletely synthesized proteins
GO:0006516,Biological_process,glycoprotein catabolic process
GO:0006518,Biological_process,peptide metabolic process
GO:0006520,Biological_process,amino acid metabolic process
GO:0006525,Biological_process,arginine metabolic process
GO:0006529,Biological_process,asparagine biosynthetic process
GO:0006531,Biological_process,aspartate metabolic process
GO:0006532,Biological_process,aspartate biosynthetic process
GO:0006533,Biological_process,aspartate catabolic process
GO:0006535,Biological_process,cysteine biosynthetic process from serine
GO:0006536,Biological_process,glutamate metabolic process
GO:0006537,Biological_process,glutamate biosynthetic process
GO:0006538,Biological_process,glutamate catabolic process
GO:0006539,Biological_process,glutamate catabolic process via 2-oxoglutarate
GO:0006541,Biological_process,glutamine metabolic process
GO:0006542,Biological_process,glutamine biosynthetic process
GO:0006543,Biological_process,glutamine catabolic process
GO:0006544,Biological_process,glycine metabolic process
GO:0006545,Biological_process,glycine biosynthetic process
GO:0006546,Biological_process,glycine catabolic process
GO:0006547,Biological_process,histidine metabolic process
GO:0006548,Biological_process,histidine catabolic process
GO:0006550,Biological_process,isoleucine catabolic process
GO:0006552,Biological_process,L-leucine catabolic process
GO:0006553,Biological_process,lysine metabolic process
GO:0006555,Biological_process,methionine metabolic process
GO:0006556,Biological_process,S-adenosylmethionine biosynthetic process
GO:0006559,Biological_process,L-phenylalanine catabolic process
GO:0006560,Biological_process,proline metabolic process
GO:0006561,Biological_process,proline biosynthetic process
GO:0006562,Biological_process,proline catabolic process
GO:0006563,Biological_process,L-serine metabolic process
GO:0006564,Biological_process,L-serine biosynthetic process
GO:0006565,Biological_process,L-serine catabolic process
GO:0006567,Biological_process,threonine catabolic process
GO:0006568,Biological_process,tryptophan metabolic process
GO:0006569,Biological_process,tryptophan catabolic process
GO:0006570,Biological_process,tyrosine metabolic process
GO:0006571,Biological_process,tyrosine biosynthetic process
GO:0006572,Biological_process,tyrosine catabolic process
GO:0006573,Biological_process,valine metabolic process
GO:0006574,Biological_process,valine catabolic process
GO:0006580,Biological_process,ethanolamine metabolic process
GO:0006581,Biological_process,acetylcholine catabolic process
GO:0006584,Biological_process,catecholamine metabolic process
GO:0006585,Biological_process,dopamine biosynthetic process from tyrosine
GO:0006587,Biological_process,serotonin biosynthetic process from tryptophan
GO:0006589,Biological_process,octopamine biosynthetic process
GO:0006595,Biological_process,polyamine metabolic process
GO:0006596,Biological_process,polyamine biosynthetic process
GO:0006597,Biological_process,spermine biosynthetic process
GO:0006605,Biological_process,protein targeting
GO:0006606,Biological_process,protein import into nucleus
GO:0006607,Biological_process,NLS-bearing protein import into nucleus
GO:0006611,Biological_process,protein export from nucleus
GO:0006612,Biological_process,protein targeting to membrane
GO:0006614,Biological_process,SRP-dependent cotranslational protein targeting to membrane
GO:0006616,Biological_process,"SRP-dependent cotranslational protein targeting to membrane, translocation"
GO:0006617,Biological_process,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"
GO:0006620,Biological_process,post-translational protein targeting to endoplasmic reticulum membrane
GO:0006621,Biological_process,protein retention in ER lumen
GO:0006623,Biological_process,protein targeting to vacuole
GO:0006624,Biological_process,vacuolar protein processing
GO:0006625,Biological_process,protein targeting to peroxisome
GO:0006626,Biological_process,protein targeting to mitochondrion
GO:0006627,Biological_process,protein processing involved in protein targeting to mitochondrion
GO:0006629,Biological_process,lipid metabolic process
GO:0006631,Biological_process,fatty acid metabolic process
GO:0006633,Biological_process,fatty acid biosynthetic process
GO:0006635,Biological_process,fatty acid beta-oxidation
GO:0006636,Biological_process,unsaturated fatty acid biosynthetic process
GO:0006637,Biological_process,acyl-CoA metabolic process
